id,Name,Founded,Business Type,HQ Location,Country,Website,LinkedIn,,
308fbf8e-980e-4a56-ad4d-23e9af5cdb40,CJW Quantum Consulting LLC,2021,Private Company,Potomac,United States,https://cjwquantum.com/,https://www.linkedin.com/in/carlwilliams7,,
0ae3a6b2-fc91-4358-830d-8b3bbdc5a999,Classiq,2018,Private Company,Tel Aviv,Israel,https://www.classiq.io/,https://www.linkedin.com/company/classiq-technologies,,
4c334634-74aa-4f8b-9144-610ec39df56e,Cloud Pharmaceuticals,2009,Private Company,Durham,United States,http://www.cloudpharmaceuticals.com/,https://www.linkedin.com/company/cloud-pharmaceuticals,,
0a82d70a-85e2-437f-baa9-154a00fa2ece,CMC Microsystems,1984,Non-Profit,Montreal,Canada,http://www.cmc.ca/,https://www.linkedin.com/company/cmc-microsystems,,
ae12fbef-31a4-4f5d-9367-06e9106dbced,Coax Co,2016,Private Company,Yokohama,Japan,http://coax-japan.co.jp/,https://www.linkedin.com/company/coaxdigital,,
dbd3be3e-9c81-4bf9-a509-88cc0fc36e1b,Code-X,2018,Private Company,Tampa,United States,http://www.teamcode-x.com/,https://www.linkedin.com/company/team-code-x/,,
772cc2c9-0ace-4323-bb35-f2c91f6d5313,Coforge,2004,Private Company,Noida,India,https://www.coforge.com/,https://www.linkedin.com/company/coforge-tech/,,
b0cdcf33-6792-4c8d-b6a9-9d0113836e8d,CogniFiber,2018,Private Company,Rosh Haayin,Israel,http://www.cognifiber.com/,https://www.linkedin.com/company/cognifiber-ltd/,,
ea11d563-c70a-4c49-ad4e-ea63f5083421,Cogniframe,2016,Private Company,Toronto,Canada,https://www.cogniframe.com/,https://www.linkedin.com/company/cogniframe,,
82ec1a7c-5aba-44db-b0b8-26ddde509983,Cognizant,1994,Public Company,Teaneck,United States,https://www.cognizant.com/,https://www.linkedin.com/company/cognizant/,,
8f7eb8b0-7c03-4eb5-99c9-5c31ac5f1496,Coherent,1971,Public Company,Saxonburg,United States,https://www.coherent.com,https://www.linkedin.com/company/coherent-corp/,,
fd84274c-84d7-4e5c-ab3f-20170ee1feeb,Coherent Computing Inc.,2023,Private Company,Fremont,United States,https://www.coherent.com/,https://www.linkedin.com/company/coherent-corp/,,
26fb7757-ae45-40e7-bdad-481764086efa,ColibriTD,2019,Private Company,Paris,France,https://colibritd.com,https://www.linkedin.com/company/colibritd/,,
adfae4ea-1963-405b-842f-f3cc7ab6051e,Collins Aerospace,2018,Private Company,Charlotte,United States,https://www.collinsaerospace.com/,https://www.linkedin.com/company/collins-aerospace/,,
e9ceeeae-ac3f-4724-8558-c8cc1bae8bbe,Commutator Studios,2022,Private Company,Duesseldorf,Germany,https://www.commutatorstudios.com/,https://www.linkedin.com/company/commutatorstudios/,,
b281bb6c-4818-43cf-996a-8e602e97381b,Compound Semiconductor Applications (CSA) Catapult,2017,Private Company,Newport,United Kingdom,https://csa.catapult.org.uk/,https://www.linkedin.com/company/csacatapult,,
4604aa0b-1d2d-45f8-8884-c2a14954ad2f,Compound Semiconductor Centre,2015,Private Company,Saint Mellons,United Kingdom,http://www.compoundsemiconductorcentre.com/,https://www.linkedin.com/company/compound-semiconductor-centre/,,
92948e67-eb65-4477-8589-5aa529f3a79e,ComPro,1998,Private Company,Istanbul,Turkey,http://www.compro.com.tr/,https://www.linkedin.com/company/compro-bilisim-teknolojileri/,,
b0be4b28-c959-4b3c-8efe-97acc47c070a,Compumedics,1985,Private Company,Abbotsford,Australia,http://www.compumedics.com/,https://www.linkedin.com/company/compumedics/,,
c7078193-c1ce-4e74-9589-6301626f54db,ComScire,1994,Private Company,Albuquerque,United States,https://comscire.com/,-,,
9ae9bce6-9488-413e-aecf-a41f53753ca4,Con-Science AB,2015,Private Company,Mölndal,Sweden,http://www.con-science.se/,https://www.linkedin.com/company/con-science/,,
bcb80d61-b4cd-48af-bc52-04ea2573d19a,Conductor Quantum,2024,Private Company,San Francisco,United States,https://www.conductorquantum.com/,https://www.linkedin.com/company/conductorquantum/,,
6bf26ac6-6d86-4d0b-b691-5750c6f379f4,Confocal.nl,2016,Private Company,Amsterdam,The Netherlands,https://www.confocal.nl/,https://www.linkedin.com/company/confocal-nl/,,
75f935f4-ff78-4b86-b0b9-d9b070da500b,Coolyuan,2020,Private Company,Wuhan,China,http://www.cascoldatom.com/index.php,-,,
5c218e5b-8439-43bc-8a43-b89b326b3cc1,Cornami,2012,Private Company,Sacramento,United States,http://www.cornami.com/,https://www.linkedin.com/company/cornami-inc.,,
fa6ef63e-9940-4c88-8814-c98c6ca16bf2,Cornes Technologies,1861,Private Company,Tokyo,Japan,http://cornestech.co.jp/en,https://www.linkedin.com/company/cornes-technologies-limited/,,
daf84687-76dd-4951-a16e-200256d41f97,"Cosmic Microwave Technology, Inc.",2019,Private Company,Lawndale,United States,https://www.cosmicmicrowavetechnology.com/,https://www.linkedin.com/company/cosmicmicrowavetechnology,,
1b1fc30a-90bc-4dbc-b46a-39bfecf7315b,Cosylab,2001,Private Company,Ljubljana,Slovenia,http://www.cosylab.com/,https://www.linkedin.com/company/cosylab/,,
7e51ff51-ba97-496e-8b0c-9a6642f163b6,Coto Technology,1917,Private Company,North Kingstown,United States,http://www.cotorelay.com/,https://www.linkedin.com/company/cototechnology/,,
4afe91b6-b6af-43c5-895d-8f6cc31d40f0,Covesion,2009,Private Company,Romsey,United Kingdom,http://www.covesion.com/,https://www.linkedin.com/company/covesion/,,
92a0c24c-6f3c-442d-bb0f-a366ee91050b,Coweaver,2000,Public Company,Seoul,South Korea,http://www.coweaver.co.kr/ko/,https://www.linkedin.com/in/kyung-woo-lee-37369498/,,
3e5caa40-a6b3-4788-a418-b08ae05a42d1,CR8DL,2021,-,Scottsdale,United States,http://www.cr8dl.ai,https://www.linkedin.com/company/cr8dlcloud/,,
a11e3da0-8d91-4a0c-954d-2a45b646be07,Craft Prospect,2017,Private Company,Glasgow,United Kingdom,http://www.craftprospect.com/,https://www.linkedin.com/company/craft-prospect/,,
db7c5ead-48c2-40f4-bdaf-7202745c59c1,CreativeQuantum,2010,Private Company,Berlin,Germany,http://www.creative-quantum.eu/en/home,https://www.linkedin.com/company/creativequantum-gmbh,,
6573bfe5-c9f9-47bd-bb93-275f50d9a4c6,Creotech,2012,Private Company,Piaseczno,Poland,https://creotech.pl/,https://www.linkedin.com/company/creotech/,,
20f7c1bd-cb36-4760-9e65-0c2196a65930,Crocus Technology,2004,Private Company,Santa Clara,United States,http://www.crocus-technology.com/,https://www.linkedin.com/company/crocus-technology/,,
cd5d76f1-792d-48a8-9897-e32c2fffdb20,Crosslight Software,1995,Private Company,Vancouver,Canada,https://crosslight.com/,https://www.linkedin.com/company/crosslight-software-inc/,,
